hour,member_casual,total_rides
0,casual,36861
0,member,31552
1,casual,23693
1,member,19251
2,casual,15752
2,member,11501
3,casual,8756
3,member,7620
4,casual,6976
4,member,8670
5,casual,10984
5,member,33567
6,casual,25978
6,member,100170
7,casual,48239
7,member,198186
8,casual,68754
8,member,254808
9,casual,68682
9,member,165420
10,casual,83064
10,member,142382
11,casual,105945
11,member,166895
12,casual,124346
12,member,188374
13,casual,127597
13,member,184086
14,casual,134035
14,member,186661
15,casual,149105
15,member,235379
16,casual,169559
16,member,331318
17,casual,184040
17,member,377501
18,casual,157466
18,member,291794
19,casual,116734
19,member,201245
20,casual,84129
20,member,139115
21,casual,71422
21,member,108644
22,casual,60372
22,member,79050
23,casual,43566
23,member,49201
